date,symbol,close,volume,open,high,low
2026-01-02,VCB,95.20,1050000,94.80,95.50,94.60
2026-01-03,VCB,95.80,1120000,95.30,96.10,95.00
2026-01-06,VCB,96.30,980000,95.90,96.80,95.70
2026-01-07,VCB,95.90,1150000,96.40,96.50,95.60
2026-01-08,VCB,96.50,1200000,96.00,97.00,95.80
2026-01-09,VCB,97.10,1350000,96.60,97.40,96.30
2026-01-10,VCB,97.80,1400000,97.20,98.10,97.00
2026-01-13,VCB,97.40,1100000,97.90,98.00,97.10
2026-01-14,VCB,98.00,1280000,97.50,98.30,97.30
2026-01-15,VCB,98.60,1320000,98.10,99.00,97.90
2026-01-16,VCB,98.20,1050000,98.70,98.90,97.80
2026-01-17,VCB,98.80,1180000,98.30,99.20,98.10
2026-01-20,VCB,99.30,1400000,98.90,99.60,98.70
2026-01-21,VCB,99.90,1550000,99.40,100.20,99.10
2026-01-22,VCB,99.50,1300000,100.00,100.10,99.20
2026-01-23,VCB,100.10,1450000,99.60,100.40,99.30
2026-01-24,VCB,100.80,1600000,100.20,101.00,100.00
2026-01-27,VCB,100.40,1200000,100.90,101.10,100.10
2026-01-28,VCB,101.00,1350000,100.50,101.30,100.30
2026-01-29,VCB,101.60,1480000,101.10,101.90,100.80
2026-01-30,VCB,101.20,1100000,101.70,101.80,100.90
2026-02-03,VCB,101.80,1500000,101.30,102.10,101.00
2026-02-04,VCB,102.40,1650000,101.90,102.70,101.60
2026-02-05,VCB,102.00,1250000,102.50,102.60,101.70
2026-02-06,VCB,102.60,1380000,102.10,102.90,101.80
2026-02-10,VCB,103.20,1500000,102.70,103.50,102.40
2026-02-11,VCB,103.80,1620000,103.30,104.10,103.00
2026-02-12,VCB,103.40,1180000,103.90,104.00,103.10
2026-02-13,VCB,104.00,1450000,103.50,104.30,103.20
2026-02-17,VCB,104.60,1580000,104.10,104.90,103.80
